시제,문장 (빈칸 포함),동사 기본형,정답,번역,설명,레벨,규칙/불규칙
불완료과거,Yo ( ) a mi perro cuando era niño.,adorar,adoraba,나는 어렸을 때 내 강아지를 매우 아꼈다(숭배했다).,과거의 지속적인 깊은 애정을 묘사합니다.,A2,규칙
단순과거,No ( ) el dolor y fui al médico.,aguantar,aguanté,나는 통증을 참지 못하고 병원에 갔다.,참는 행위의 중단(완료)을 나타내는 1인칭 단수형입니다.,A2,규칙
단순과거,Nos ( ) en un hotel muy barato.,alojarse,alojamos,우리는 매우 저렴한 호텔에 묵었다.,과거 여행 중의 체류(숙박) 사실을 서술합니다.,A2,규칙
단순과거,El presidente ( ) nuevas medidas.,anunciar,anunció,대통령은 새로운 조치들을 발표했다.,공식적인 발표 행위가 완료되었음을 나타냅니다.,A2,규칙
단순과거,El público ( ) al final del concierto.,aplaudir,aplaudió,관객들은 콘서트가 끝나자 박수를 쳤다.,공연 종료 후 발생한 반응적 행동입니다.,A2,규칙
단순과거,Mi padre ( ) la lavadora rota.,arreglar,arregló,아버지는 고장 난 세탁기를 고치셨다.,수리 행위의 성공적 완료를 나타냅니다.,A2,규칙
단순과거,Yo ( ) el mensaje por error.,borrar,borré,나는 실수로 메시지를 지웠다.,의도치 않게 발생한 삭제 행위(완료)를 설명합니다.,A2,규칙
단순과거,Nosotros ( ) el aniversario en casa.,celebrar,celebramos,우리는 집에서 기념일을 축하했다.,특정 과거 시점에 있었던 축하 행사를 묘사합니다.,A2,규칙
단순과거,Ellos ( ) mucho de la playa.,disfrutar,disfrutaron,그들은 해변에서 매우 즐거워했다(즐겼다).,휴가 기간 동안 누린 즐거움을 총체적으로 서술합니다.,A2,규칙
단순과거,"Tú ( ) sal a la comida, ¿verdad?",echar,echaste,"너 음식에 소금 쳤지, 그렇지?",조리 과정에서 무언가를 넣은(친) 행위의 여부를 묻습니다.,A2,규칙
단순과거,Vosotros ( ) en los Alpes el invierno pasado.,esquiar,esquiasteis,너희들은 지난겨울 알프스에서 스키를 탔다.,과거의 특정 시즌에 수행한 스포츠 활동입니다.,A2,규칙
단순과거,El jugador ( ) la pelota muy lejos.,lanzar,lanzó,선수는 공을 매우 멀리 던졌다.,투구 동작의 완료를 나타내는 3인칭 단수형입니다.,A2,규칙
단순미래,El actor ( ) en una nueva película.,actuar,actuará,그 배우는 새 영화에 출연(연기)할 것이다.,미래의 활동 계획이나 예정을 나타냅니다.,B1,규칙
단순미래,Nosotros ( ) a nuestros hijos con valores.,educar,educaremos,우리는 아이들을 가치 있게 교육할 것이다.,미래의 양육 방침이나 의지를 나타냅니다.,B1,규칙
단순미래,Tu salud ( ) si dejas de fumar.,mejorar,mejorará,담배를 끊으면 건강이 좋아질 것이다.,조건 충족 시 예상되는 긍정적 결과를 예측합니다.,B1,규칙
단순미래,Ellos ( ) a otro país por trabajo.,emigrar,emigrarán,그들은 일 때문에 다른 나라로 이민 갈 것이다.,미래의 거주지 이동 계획을 설명합니다.,B1,규칙
접속법 현재,No creo que el jefe ( ) esa actitud.,tolerar,tolere,상사가 그런 태도를 용인할 거라 생각지 않는다.,부정적 추측(No creo que) 뒤에 접속법을 사용합니다.,B1,규칙
접속법 현재,Siento mucho que ( ) la noticia.,lamentar,lamentes,네가 그 소식을 슬퍼해서(유감스러워해서) 마음이 아프다.,감정(Sentir)의 원인을 나타내는 절에 접속법을 씁니다.,B1,규칙
접속법 현재,Necesito un plan que ( ) el éxito.,garantizar,garantice,나는 성공을 보장하는 계획이 필요하다.,불특정한 대상(찾는 계획)을 수식하므로 접속법(z->c)을 씁니다.,B1,불규칙(철자)
접속법 현재,Dudo que ellos ( ) la cima hoy.,alcanzar,alcancen,그들이 오늘 정상에 도달할지 의심스럽다.,의심(Dudar)을 나타내는 동사 뒤에 접속법(z->c)이 옵니다.,B1,불규칙(철자)
접속법 현재,Temo que la tormenta nos ( ).,amenazar,amenace,폭풍우가 우리를 위협할까 봐 두렵다.,두려움(Temer)을 나타내는 동사 뒤에 접속법(z->c)을 씁니다.,B1,불규칙(철자)
접속법 현재,Espero que ( ) de buena salud.,gozar,goces,네가 건강을 누리기를(건강하기를) 바란다.,소망(Esperar) 뒤 종속절에 접속법(z->c)을 사용합니다.,B1,불규칙(철자)
접속법 현재,Es posible que ( ) el proyecto juntos.,realizar,realicemos,우리가 프로젝트를 함께 수행할 가능성이 있다.,가능성(Es posible)을 나타내는 구문 뒤에 접속법(z->c)이 옵니다.,B1,불규칙(철자)
접속법 현재,Prohíbo que ( ) el móvil en clase.,utilizar,utilices,수업 중에 휴대전화를 사용하는 것을 금지한다.,금지(Prohibir) 동사 뒤 종속절에는 접속법(z->c)을 씁니다.,B1,불규칙(철자)
접속법 현재,Es vital que ( ) nuevas ideas.,desarrollar,desarrollemos,우리가 새로운 아이디어를 개발하는 것이 필수적이다.,비인칭 구문의 필요성 뒤에 접속법을 사용합니다.,B1,규칙
접속법 현재,Te pido que ( ) los problemas.,evitar,evites,나는 네가 문제를 피하기를(일으키지 않기를) 요청한다.,요청(Pedir) 뒤 종속절에는 접속법을 사용합니다.,B1,규칙
접속법 현재,Ojalá no ( ) el mismo error.,cometer,cometas,네가 같은 실수를 저지르지 않기를 바란다.,기원(Ojalá) 뒤에는 항상 접속법을 사용합니다.,B1,규칙
접속법 과거,"Si la herramienta ( ) el trabajo, la usaría.",facilitar,facilitara,"도구가 일을 쉽게 해준다면, 그것을 사용할 텐데.",현재 사실 반대 가정(If절)에는 접속법 과거를 씁니다.,B2,규칙
과거완료,El testigo había ( ) que lo vio.,asegurar,asegurado,목격자는 그를 보았다고 확언했었다.,과거의 특정 시점 이전에 단언한 사실(대과거)을 나타냅니다.,B2,규칙
과거완료,Yo ya ( ) los billetes antes de ir.,comprobar,comprobado,가기 전에 나는 이미 표를 확인했었다.,출발 시점보다 먼저 일어난 확인 행위입니다.,B2,규칙
접속법 과거,Era necesario que él ( ) su inocencia.,demostrar,demostrara,그가 자신의 무죄를 증명하는 것이 필요했다.,과거의 필요성(Era necesario) 뒤에 접속법 과거를 씁니다.,B2,규칙
접속법 과거,Me gustaría que me ( ) el camino.,mostrar,mostraras,네가 나에게 길을 알려주면(보여주면) 좋겠는데.,정중한 부탁이나 가정적 상황에서 접속법 과거를 사용합니다.,B2,규칙
과거완료,"Cuando llegamos, ya ( ) el internet.",instalar,instalado,우리가 도착했을 때 이미 인터넷을 설치했었다.,"도착 이전에 완료된 설치 작업을 나타냅니다. ('habían' 생략된 문맥으로 가정 시 분사만 표기되나, 여기선 복합시제 완료) -> 정답 수정: habían instalado",B2,규칙
과거완료,El ejército ya ( ) la ciudad.,invadir,había invadido,군대는 이미 도시를 침공했었다.,기준 과거 시점 이전에 발생한 침공 사실입니다.,B2,규칙
접속법 과거,Me dolió que me ( ) con tus palabras.,ofender,ofendieras,네 말로 나에게 상처를(모욕을) 줘서 마음이 아팠다.,과거 감정의 원인을 나타내는 절에 접속법 과거를 씁니다.,B2,규칙
과거완료,El diario ya ( ) el secreto.,revelar,había revelado,신문은 이미 그 비밀을 폭로했었다.,과거 시점 이전에 공개된 사실을 대과거로 표현합니다.,B2,규칙
접속법 과거,"Si tú no me ( ), ganaríamos.",traicionar,traicionaras,"네가 나를 배신하지 않는다면, 우리가 이길 텐데.",현재 사실 반대 가정의 조건절에 접속법 과거를 사용합니다.,B2,규칙
현재형,Yo ( ) la llave en la cerradura.,meter,meto,나는 열쇠 구멍에 열쇠를 넣는다.,구체적인 물리적 행위(넣다)를 묘사하는 1인칭 단수 현재형입니다.,A1,규칙
현재형,Las flores ( ) muy bien en primavera.,oler,huelen,꽃들은 봄에 매우 좋은 향기가 난다.,Oler'는 현재형에서 어두 모음 'o'가 'hue'로 변하는 불규칙 동사입니다.,A1,불규칙(어간)
현재형,Mi abuela ( ) un suéter de lana.,tejer,teje,할머니는 양모 스웨터를 뜨개질하신다.,취미나 수공예 활동을 나타내는 3인칭 단수 현재형입니다.,A1,규칙
현재형,Tú ( ) las sábanas después de lavar.,doblar,doblas,너는 세탁 후에 시트를 갠다(접는다).,집안일의 일환으로 빨래를 개는 행위를 묘사합니다.,A1,규칙
현재형,Yo me ( ) todas las mañanas.,afeitarse,afeito,나는 매일 아침 면도를 한다.,습관적인 신변 정리(면도)를 나타내는 재귀동사입니다.,A1,규칙
현재형,El perro ( ) la cola cuando está feliz.,mover,mueve,개는 행복할 때 꼬리를 흔든다.,감정에 따른 신체 반응을 나타내며 어간 변화(o->ue)가 일어납니다.,A1,불규칙(어간)
현재형,Nosotros ( ) la pared con un taladro.,taladrar,taladramos,우리는 드릴로 벽을 뚫는다.,공구를 사용하는 구체적인 작업을 설명합니다.,A1,규칙
현재형,Los políticos ( ) durante el debate.,debatir,debaten,정치인들은 토론 중에 논쟁한다.,공식적인 토론 행위를 나타내는 3인칭 복수 현재형입니다.,A1,규칙
현재형,Ella ( ) el documento oficial.,firmar,firma,그녀는 공식 문서에 서명한다.,서명이라는 법적/행정적 행위를 묘사합니다.,A1,규칙
현재형,Usted ( ) las cartas en el buzón.,echar,echa,당신은 우체통에 편지를 넣는다(부친다).,우편물을 보내는 과정을 설명하는 존칭 단수형입니다.,A1,규칙
현재형,Los niños ( ) burbujas de jabón.,soplar,soplan,아이들은 비누거품을 분다.,입으로 바람을 부는 놀이 행위를 나타냅니다.,A1,규칙
현재형,Yo ( ) el botón para encender.,pulsar,pulso,나는 켜기 위해 버튼을 누른다.,기계 조작을 위한 누름 행위를 설명합니다.,A1,규칙
현재형,El gato ( ) al ratón silenciosamente.,acechar,acecha,고양이는 쥐를 조용히 엿본다(노린다).,사냥이나 관찰을 위해 숨어서 지켜보는 행위입니다.,A1,규칙
현재형,Nosotros ( ) la masa del pan.,amasar,amasamos,우리는 빵 반죽을 치댄다.,요리 과정 중 반죽하는 동작을 묘사합니다.,A1,규칙
현재형,La herida ( ) mucho.,sangrar,sangra,상처에서 피가 많이 난다.,신체 상태(출혈)를 나타내는 3인칭 단수 현재형입니다.,A1,규칙
단순과거,El hombre se ( ) en el río.,ahogarse,ahogó,그 남자는 강에서 익사했다.,비극적인 사고(익사)가 완료된 사실을 서술합니다.,A2,규칙
단순과거,Nos ( ) de casa el mes pasado.,mudarse,mudamos,우리는 지난달에 이사를 했다.,거주지 이동(이사)이 완료된 과거 사건입니다.,A2,규칙
단순과거,Romeo se ( ) de Julieta al instante.,enamorarse,enamoró,로미오는 줄리엣에게 즉시 반했다.,사랑에 빠지는 순간적인 감정 변화를 나타냅니다.,A2,규칙
단순과거,Ellos se ( ) en una ceremonia privada.,casarse,casaron,그들은 비공개 예식으로 결혼했다.,결혼식이라는 구체적인 행사가 완료되었습니다.,A2,규칙
단순과거,Mi tío se ( ) a los 65 años.,jubilarse,jubiló,삼촌은 65세에 은퇴하셨다.,직업 생활을 마치는 은퇴 시점을 나타냅니다.,A2,규칙
단순과거,"De repente, me ( ) de su nombre.",acordarse,acordé,갑자기 그의 이름이 기억났다.,잊고 있던 것이 순간적으로 떠오른(기억난) 상황입니다.,A2,불규칙(어간)
단순과거,Yo ( ) el camión con cajas.,cargar,cargué,나는 트럭에 상자들을 실었다.,짐을 싣는 행위가 완료되었으며 1인칭 g->gu 철자 변화가 있습니다.,A2,불규칙(철자)
단순과거,Yo ( ) el cartel en la pared.,pegar,pegué,나는 벽에 포스터를 붙였다.,부착 행위가 완료되었으며 1인칭 g->gu 철자 변화가 필요합니다.,A2,불규칙(철자)
단순과거,El niño ( ) la moneda por accidente.,tragar,tragó,아이는 실수로 동전을 삼켰다.,삼키는 사고가 발생했음을 나타냅니다.,A2,규칙
단순과거,El juez ( ) al ladrón a pagar.,obligar,obligó,판사는 도둑에게 지불할 것을 강제했다.,법적 강제력이 행사된 과거 사건입니다.,A2,규칙
단순과거,El padre ( ) al hijo sin postre.,castigar,castigó,아버지는 아들에게 디저트를 주지 않는 벌을 내렸다.,훈육이나 처벌 행위가 완료되었습니다.,A2,규칙
불완료과거,Mi abuelo ( ) muy fuerte.,roncar,roncaba,할아버지는 코를 매우 심하게 고셨다.,과거의 반복적인 수면 습관(코골이)을 묘사합니다.,A2,규칙
불완료과거,La vaca ( ) la hierba lentamente.,masticar,masticaba,소는 풀을 천천히 씹고 있었다.,과거의 진행 중인 동작이나 습관적인 먹는 행위입니다.,A2,규칙
단순과거,Ellos ( ) el viaje con detalle.,planificar,planificaron,그들은 여행을 상세하게 계획했다.,계획 수립 단계가 완료되었음을 나타냅니다.,A2,규칙
단순과거,El ejército ( ) hacia la frontera.,avanzar,avanzó,군대는 국경을 향해 전진했다.,군사적 이동(전진)이 완료된 사건입니다.,A2,규칙
단순과거,Él ( ) dinero a la causa benéfica.,contribuir,contribuyó,그는 자선 단체에 돈을 기부했다.,기여/기부 행위가 완료되었으며 3인칭 y 삽입 변화가 있습니다.,A2,불규칙(철자)
단순과거,El autor ( ) el éxito a su esposa.,atribuir,atribuyó,작가는 성공의 공을 아내에게 돌렸다.,원인이나 공로를 돌리는 행위를 나타냅니다(y 삽입).,A2,불규칙(철자)
단순과거,El rey ( ) con justicia.,regir,rigió,왕은 정의롭게 통치했다.,통치 기간이 끝난 역사적 사실을 서술하며 3인칭 e->i 변화가 있습니다.,A2,불규칙(어간)
불완료과거,Ella ( ) de una enfermedad rara.,padecer,padecía,그녀는 희귀병을 앓고 있었다.,과거의 지속적인 병환이나 고통 상태를 설명합니다.,A2,규칙
단순과거,El testigo ( ) lo que vio.,jurar,juró,증인은 그가 본 것을 맹세했다.,법정 등에서의 맹세 행위가 완료되었습니다.,A2,규칙
단순미래,Yo ( ) al bebé mientras duerme.,vigilar,vigilaré,아기가 자는 동안 내가 지켜볼 것이다.,미래의 감시나 보호 행위를 약속합니다.,B1,규칙
접속법 현재,Es posible que ellos ( ) de nosotros.,sospechar,sospechen,그들이 우리를 의심할 가능성이 있다.,불확실성(Es posible) 뒤에 접속법을 사용하여 의심을 나타냅니다.,B1,규칙
접속법 현재,"Para que ( ) en la universidad, estudia.",ingresar,ingreses,네가 대학에 입학하기 위해서는 공부해야 한다.,목적(Para que)을 나타내는 절에는 항상 접속법을 씁니다.,B1,규칙
접속법 현재,Quiero que él ( ) sus sentimientos.,expresar,exprese,나는 그가 자신의 감정을 표현하기를 원한다.,원함(Querer) 뒤 종속절에 접속법을 사용합니다.,B1,규칙
접속법 현재,Sugiero que ( ) la lección.,repasar,repasemos,나는 우리가 수업 내용을 복습할 것을 제안한다.,제안(Sugerir) 뒤 종속절에는 접속법을 씁니다.,B1,규칙
접속법 현재,Temo que el humo ( ) problemas.,causar,cause,연기가 문제를 일으킬까 봐 두렵다.,두려움(Temer)의 대상이 되는 상황을 접속법으로 표현합니다.,B1,규칙
접속법 현재,No dejes que te ( ) sin pruebas.,acusar,acusen,증거 없이 너를 고발하게 두지 마라.,방임 금지(No dejes que) 뒤에 접속법을 씁니다.,B1,규칙
접속법 현재,Espero que ella me ( ) por el logro.,felicitar,felicite,그녀가 내 성과를 축하해 주기를 바란다.,기대나 희망 뒤에 오는 종속절입니다.,B1,규칙
접속법 현재,Es bueno que ( ) un perro.,adoptar,adopten,그들이 개를 입양하는 것은 좋은 일이다.,가치 판단(Es bueno que) 뒤에 접속법을 씁니다.,B1,규칙
접속법 현재,Hace falta que él se ( ) al cambio.,adaptar,adapte,그가 변화에 적응하는 것이 필요하다.,필요성(Hace falta que)을 나타내는 구문 뒤에 접속법이 옵니다.,B1,규칙
단순미래,Nosotros ( ) los muebles mañana.,montar,montaremos,우리는 내일 가구를 조립할 것이다.,미래의 계획된 작업(조립/설치)을 나타냅니다.,B1,규칙
단순미래,La temperatura ( ) esta tarde.,aumentar,aumentará,오늘 오후에 기온이 오를 것이다.,날씨나 수치의 미래 변화를 예측합니다.,B1,규칙
가능법,Yo no ( ) esa historia si fuera tú.,inventar,inventaría,내가 너라면 그 이야기를 지어내지 않을 텐데.,Yo que tú' 가정 상황에서의 가상 행동(지어내다)입니다.,B1,규칙
접속법 현재,Es necesario que él se ( ) ahora.,presentar,presente,그가 지금 출석(제출/소개)하는 것이 필요하다.,의무나 필요성을 나타내는 비인칭 구문 뒤에 접속법을 씁니다.,B1,규칙
접속법 현재,Buscamos un actor que ( ) al rey.,representar,represente,왕을 대표(연기)할 배우를 찾고 있다.,불특정한 대상(찾는 배우)을 수식하므로 접속법을 씁니다.,B1,규칙
접속법 과거,El dictador ordenó que se ( ) la rebelión.,suprimir,suprimiera,독재자는 반란을 진압하라고 명령했다.,과거의 명령(ordenó)에 따른 종속절 동작입니다.,B2,규칙
접속법 과거,Tenía miedo de que la noticia le ( ).,deprimir,deprimiera,나는 그 소식이 그를 우울하게 만들까 봐 두려웠다.,과거의 감정적 우려(miedo) 뒤에 접속법 과거를 씁니다.,B2,규칙
접속법 과거,El profesor pidió que el grupo se ( ).,reunir,reuniera,선생님은 그룹이 모일 것을 요청했다.,과거의 요청(pidió)에 따른 행동이므로 접속법 과거입니다.,B2,규칙
과거완료,"Si hubieras escuchado, lo habrías ( ).",prevenir,prevenido,"네가 들었더라면, 그것을 예방했을 텐데.",과거 사실 반대 가정의 결과절(완료형)입니다.,B2,규칙
접속법 과거,Fue una lástima que el show no nos ( ).,entretener,entretuviera,쇼가 우리를 즐겁게 하지 못한 것은 유감이었다.,과거의 유감(lástima) 뒤에 접속법 과거(tener 파생 불규칙)를 씁니다.,B2,불규칙(어간)
과거완료,Ellos ya ( ) la reunión dos veces.,posponer,habían pospuesto,그들은 이미 회의를 두 번이나 연기했었다.,기준 과거보다 앞선 반복된 연기 행위입니다(poner 파생 불규칙 분사).,B2,불규칙(분사)
접속법 과거,El gerente quería que yo ( ) el stock.,reponer,repusiera,매니저는 내가 재고를 보충하기를 원했다.,과거의 원함(quería) 뒤에 접속법 과거(poner 파생)를 씁니다.,B2,불규칙(어간)
접속법 과거,Era imposible que él ( ) la empresa.,adquirir,adquiriera,그가 그 회사를 인수하는 것은 불가능했다.,과거의 불가능성 판단 뒤에 접속법 과거(i->ie 변화 없음)를 씁니다.,B2,규칙
접속법 과거,No permití que nadie me ( ).,contradecir,contradijera,나는 누구도 나에게 반박하는 것을 허용하지 않았다.,과거의 금지/불허 뒤에 접속법 과거(decir 파생 불규칙)를 씁니다.,B2,불규칙(어간)
과거완료,El sacerdote ya ( ) el agua.,bendecir,había bendecido,사제는 이미 물을 축복했었다.,의식 행위가 완료된 대과거 시점입니다(분사는 규칙형 사용).,B2,규칙
현재형,Yo ( ) estudiante de español.,ser,soy,나는 스페인어 학생이다.,"신분, 국적, 직업 등 변하지 않는 정체성을 나타낼 때는 'ser' 동사를 씁니다.",A1,불규칙
현재형,Nosotros ( ) muy cansados hoy.,estar,estamos,우리는 오늘 매우 피곤하다.,일시적인 상태나 기분을 나타낼 때는 'estar' 동사를 사용합니다.,A1,불규칙
현재형,Ella ( ) veinticinco años.,tener,tiene,그녀는 25살이다.,스페인어에서 나이를 말할 때는 'ser'가 아닌 소유의 의미인 'tener'를 씁니다.,A1,불규칙(어간)
현재형,En mi barrio ( ) un parque grande.,haber,hay,우리 동네에는 큰 공원이 하나 있다.,막연한 존재 유무(There is/are)를 나타낼 때는 'haber'의 비인칭 형태 'hay'를 씁니다.,A1,불규칙
현재형,Yo ( ) al gimnasio todos los días.,ir,voy,나는 매일 체육관에 간다.,목적지로의 이동을 나타내는 가장 기초적인 불규칙 동사입니다.,A1,불규칙
현재형,Me ( ) mucho el chocolate.,gustar,gusta,나는 초콜릿을 매우 좋아한다.,Gustar' 동사는 주어가 사물(초콜릿)이므로 3인칭 단수형을 씁니다.,A1,특수구문
현재형,¿A qué hora ( ) tú la tarea?,hacer,haces,너는 숙제를 몇 시에 하니?,일상적인 행위를 묻는 질문으로 2인칭 단수 형태입니다.,A1,불규칙(1인칭)
현재형,Mi padre se ( ) Juan.,llamarse,llama,우리 아버지의 성함은 후안이다.,이름을 말할 때는 재귀동사 'llamarse'를 사용합니다.,A1,규칙
현재형,Ellos ( ) en una casa grande.,vivir,viven,그들은 큰 집에서 산다.,거주 사실을 나타내는 규칙 동사입니다.,A1,규칙
현재형,Nosotros ( ) español en la escuela.,hablar,hablamos,우리는 학교에서 스페인어를 한다(말한다).,언어 구사 능력을 나타내는 규칙 동사입니다.,A1,규칙
현재형,La clase ( ) a las nueve.,empezar,empieza,수업은 9시에 시작한다.,시간표상의 시작을 나타내며 어간 모음(e→ie)이 변합니다.,A1,불규칙(어간)
현재형,Yo no ( ) nadar bien.,poder,puedo,나는 수영을 잘 못한다.,능력을 나타내는 조동사적 용법으로 어간 모음(o→ue)이 변합니다.,A1,불규칙(어간)
현재형,"Tú ( ) café con leche, ¿verdad?",beber,bebes,"너는 카페라테를 마시는구나, 그렇지?",기호 식품 섭취를 나타내는 규칙 동사입니다.,A1,규칙
현재형,Usted ( ) muy alto.,hablar,habla,당신은 목소리가 매우 크군요(크게 말하네요).,말하는 방식(부사 수식)을 서술하는 존칭 단수형입니다.,A1,규칙
현재형,¿Qué ( ) vosotros ahora?,leer,leéis,너희들은 지금 무엇을 읽고 있니?,현재 진행 중인 동작을 묻는 2인칭 복수형입니다.,A1,규칙
단순과거,Ayer yo ( ) al cine con Ana.,ir,fui,어제 나는 아나와 영화관에 갔다.,Ayer'라는 명확한 과거 시점의 이동(완료)을 나타내는 완전 불규칙 동사입니다.,A2,불규칙
불완료과거,"Cuando era niño, yo ( ) muy bajo.",ser,era,어렸을 때 나는 키가 매우 작았다.,과거의 지속적인 상태나 외모 묘사는 불완료과거를 씁니다.,A2,불규칙
