문장,뜻,정답,오답,유형,해설
El tren sale ( ) Madrid a las ocho.,기차는 8시에 마드리드*행*이다.,para,"por,de,en,hacia",loc_direction,'salir para'는 목적지를 강조하여 '~행이다'를 의미합니다.
Hemos caminado ( ) el bosque durante dos horas.,우리는 2시간 동안 숲*을 지나* 걸었다.,por,"para,a,de,en",loc_path,장소를 통과하거나 경유하는 이동은 'por'입니다.
La reunión está programada ( ) el próximo lunes.,회의는 다음 주 월요일*로* 예정되어 있다.,para,"por,a,de,en",time_deadline,예정된 기한은 'para'입니다.
El regalo es ( ) mi madre.,이 선물은 나의 어머니*를 위한* 것이다.,para,"por,a,de,con",company,수혜자는 'para'입니다.
No puedo dormir ( ) el ruido de la calle.,거리의 소음 *때문에* 잠을 잘 수가 없다.,por,"para,de,a,sin",cause,원인(~때문에)은 'por'입니다.
El libro está ( ) la mesa.,책은 탁자 *위에* 있다.,sobre,"bajo,entre,hacia,desde",loc_position,표면 위는 'sobre'입니다.
Llegaremos ( ) las cinco de la tarde.,우리는 오후 5시 *무렵에* 도착할 것이다.,hacia,"hasta,desde,de,entre",time_point,대략적인 시간은 'hacia'입니다.
Voy a viajar ( ) avión.,나는 비행기*를 타고* 여행할 것이다.,en,"por,a,con,de",method,교통 수단은 'en'입니다.
Este cuadro fue pintado ( ) Picasso.,이 그림은 피카소*에 의해* 그려졌다.,por,"para,de,a,con",method,수동태의 행위자는 'por'입니다.
Salimos ( ) casa muy temprano.,우리는 집*에서* 매우 일찍 나왔다.,de,"a,en,por,para",loc_origin,출발지는 'de'입니다.
La farmacia está ( ) el banco y el supermercado.,약국은 은행과 슈퍼마켓 *사이에* 있다.,entre,"sobre,bajo,ante,tras",loc_position,사이는 'entre'입니다.
Estudio español ( ) mejorar mi trabajo.,나는 업무 능력을 향상시키기 *위해* 스페인어를 공부한다.,para,"por,a,de,en",purpose,목적은 'para'입니다.
Hablamos ( ) la situación económica.,우리는 경제 상황*에 대해* 이야기했다.,sobre,"en,con,por,para",topic,주제는 'sobre'입니다.
El gato se escondió ( ) la cama.,고양이는 침대 *밑에* 숨었다.,bajo,"sobre,en,a,de",loc_position,아래는 'bajo'입니다.
Te llamaré ( ) las diez y las once.,10시와 11시 *사이에* 전화할게.,entre,"a,de,por,hacia",time_duration,시간 사이는 'entre'입니다.
No puedo vivir ( ) ti.,나는 너 *없이* 살 수 없다.,sin,"con,por,para,de",company,부재는 'sin'입니다.
Prefiero pagar ( ) tarjeta.,나는 카드*로* 결제하는 것을 선호한다.,con,"por,a,en,de",method,도구/수단은 'con'입니다.
Estuvimos en la fiesta ( ) el amanecer.,우리는 새벽*까지* 파티에 있었다.,hasta,"hacia,desde,por,para",time_deadline,종료 시점은 'hasta'입니다.
Vivo en España ( ) 2015.,나는 2015년*부터* 스페인에 살고 있다.,desde,"de,en,a,hasta",time_point,기점은 'desde'입니다.
El niño se escondió ( ) la puerta.,아이는 문 *뒤에* 숨었다.,tras,"ante,bajo,sobre,entre",loc_position,뒤는 'tras'입니다.
Luchamos ( ) la injusticia.,우리는 불의*에 맞서* 싸운다.,contra,"por,para,con,de",topic,반대는 'contra'입니다.
"Lo hice ( ) ayudar, no por interés.",나는 돕기 *위해* 그것을 했다.,para,"por,a,de,en",purpose,목적은 'para'입니다.
Cambié mi coche viejo ( ) uno nuevo.,나는 내 헌 차를 새 차*와* 바꿨다.,por,"para,a,con,de",exchange,교환은 'por'입니다.
El tren pasa ( ) un túnel muy largo.,기차는 매우 긴 터널*을 통과해* 지나간다.,por,"para,a,de,en",loc_path,경로는 'por'입니다.
Estoy ( ) vacaciones.,나는 휴가 *중*이다.,de,"en,a,por,para",manner,상태는 'de'입니다.
Vengo ( ) trabajar.,나는 일하*고 나서* 오는 길이다.,de,"a,en,por,para",loc_origin,출발지는 'de'입니다.
El museo está ( ) la derecha.,박물관은 오른쪽*에* 있다.,a,"en,de,por,para",loc_position,방향 위치는 'a'입니다.
Trabajo ( ) lunes a viernes.,나는 월요일*부터* 금요일까지 일한다.,de,"a,en,por,para",time_duration,시작점은 'de'입니다.
Voy a casa ( ) pie.,나는 *걸어서* 집에 간다.,a,"en,por,con,de",method,걸어서는 'a pie'입니다.
Gracias ( ) todo.,모든 것에 *대해* 고마워.,por,"para,a,de,con",cause,감사의 이유는 'por'입니다.
No hables ( ) la clase.,수업 *중에* 말하지 마라.,durante,"por,para,entre,hacia",time_duration,기간 동안은 'durante'입니다.
"( ) mi opinión, eso no es correcto.","내 의견*에 따르면*, 그것은 옳지 않다.",según,"por,para,con,de",topic,출처는 'según'입니다.
El ladrón entró ( ) la ventana.,도둑은 창문*을 통해* 들어왔다.,por,"para,a,de,en",loc_path,통과는 'por'입니다.
Estoy muy cansado ( ) tanto trabajar.,나는 너무 많이 일*해서* 피곤하다.,de,"a,en,con,sin",cause,원인은 'de'입니다.
El libro trata ( ) la historia de España.,그 책은 스페인 역사*에 대해* 다룬다.,sobre,"en,con,por,para",topic,주제는 'sobre'입니다.
Vamos a la playa ( ) coche.,우리는 차*를 타고* 해변에 간다.,en,"a,por,con,de",method,교통수단은 'en'입니다.
Este regalo es ( ) mi novia.,이 선물은 내 여자친구*를 위한* 것이다.,para,"por,a,de,con",company,수혜자는 'para'입니다.
( ) fin ha dejado de llover.,*마침내* 비가 그쳤다.,por,"para,a,de,en",manner,'Por fin'은 관용구입니다.
Vivo ( ) mis padres.,나는 부모님*과 함께* 산다.,con,"sin,por,para,de",company,동반은 'con'입니다.
No salgas ( ) abrigo.,코트 *없이* 나가지 마라.,sin,"con,por,para,de",company,부재는 'sin'입니다.
El avión vuela ( ) las nubes.,비행기가 구름 *위로* 날고 있다.,sobre,"bajo,entre,hacia,desde",loc_position,위는 'sobre'입니다.
Caminamos ( ) la playa al atardecer.,우리는 해변*을* 걸었다.,por,"para,a,de,en",loc_path,경로는 'por'입니다.
La clase termina ( ) las dos.,수업은 2시*에* 끝난다.,a,"en,de,por,para",time_point,시각은 'a'입니다.
Estoy ( ) vacaciones.,나는 휴가 *중*이다.,de,"en,a,por,para",manner,상태는 'de'입니다.
Lo hice ( ) error.,나는 그것을 실수*로* 했다.,por,"para,a,de,en",cause,이유는 'por'입니다.
Este tren va ( ) París.,이 기차는 파리 *쪽으로* 간다.,hacia,"por,de,en,con",loc_direction,방향은 'hacia'입니다.
Trabajo ( ) ocho a cinco.,나는 8시*부터* 5시까지 일한다.,de,"a,en,por,para",time_duration,시작점은 'de'입니다.
El gato está ( ) la mesa.,고양이는 탁자 *아래에* 있다.,debajo de,"encima de,al lado de,cerca de,lejos de",loc_position,아래는 'debajo de'입니다.
Mi casa está ( ) la escuela.,우리 집은 학교 *근처에* 있다.,cerca de,"lejos de,entre,sobre,bajo",loc_position,근처는 'cerca de'입니다.
"( ) pesar de la lluvia, salimos.",비*에도* 불구하고 우리는 나갔다.,A,"De,En,Por,Con",cause,양보는 'A pesar de'입니다.
Llámame ( ) de llegar.,도착하기 *전에* 전화해라.,antes,"después,durante,mientras,hasta",time_point,전은 'antes de'입니다.
El vaso es ( ) cristal.,그 컵은 유리*로* 만들어졌다.,de,"en,con,por,para",material,재료는 'de'입니다.
Voy a estar aquí ( ) el lunes.,나는 월요일*까지* 여기에 있을 것이다.,hasta,"desde,de,a,en",time_deadline,종료 시점은 'hasta'입니다.
Estudio español ( ) viajar a México.,나는 멕시코를 여행하기 *위해* 스페인어를 공부한다.,para,"por,a,de,en",purpose,목적은 'para'입니다.
La carta fue escrita ( ) María.,그 편지는 마리아*에 의해* 쓰여졌다.,por,"para,de,a,con",method,행위자는 'por'입니다.
Estamos ( ) contra de la guerra.,우리는 전쟁에 *반대*한다.,en,"a,de,por,para",topic,반대는 'en contra de'입니다.
Salgo ( ) casa a las ocho.,나는 8시에 집*에서* 나온다.,de,"a,en,por,para",loc_origin,출발지는 'de'입니다.
Hay un parque ( ) mi casa.,우리 집 *맞은편에* 공원이 있다.,frente a,"junto a,lejos de,dentro de,sobre",loc_position,맞은편은 'frente a'입니다.
Te cambio mi libro ( ) el tuyo.,내 책을 네 것*과* 바꿀게.,por,"para,a,de,con",exchange,교환은 'por'입니다.
Nos vemos ( ) la tarde.,오후*에* 보자.,por,"a,de,en,para",time_duration,시간대는 'por'입니다.
El coche está aparcado ( ) la casa.,차는 집 *앞에* 주차되어 있다.,delante de,"detrás de,dentro de,lejos de,sobre",loc_position,앞은 'delante de'입니다.
Hay un jardín ( ) la escuela.,학교 *뒤에* 정원이 있다.,detrás de,"delante de,encima de,debajo de,entre",loc_position,뒤는 'detrás de'입니다.
Las llaves están ( ) el bolso.,열쇠는 가방 *안에* 있다.,dentro de,"fuera de,encima de,debajo de,junto a",loc_position,안은 'dentro de'입니다.
Estamos esperando ( ) la oficina.,우리는 사무실 *밖에서* 기다리고 있다.,fuera de,"dentro de,sobre,bajo,entre",loc_position,밖은 'fuera de'입니다.
Aprobé el examen ( ) tu ayuda.,네 도움 *덕분에* 시험에 합격했다.,gracias a,"a causa de,por,para,sin",cause,덕분에는 'gracias a'입니다.
No fuimos al parque ( ) la lluvia.,비 *때문에* 공원에 가지 않았다.,a causa de,"gracias a,para,con,sin",cause,때문에는 'a causa de'입니다.
El gato saltó ( ) la valla.,고양이는 울타리 *위로* 뛰어넘었다.,sobre,"bajo,entre,hacia,desde",loc_direction,위로는 'sobre'입니다.
Caminamos ( ) la orilla del río.,우리는 강변*을 따라* 걸었다.,por,"para,a,de,en",loc_path,경로는 'por'입니다.
La tienda está ( ) la izquierda.,가게는 왼쪽*에* 있다.,a,"en,de,por,para",loc_position,방향 위치는 'a'입니다.
Trabajo ( ) lunes a viernes.,월요일*부터* 금요일까지 일한다.,de,"a,en,por,para",time_duration,시작점은 'de'입니다.
Voy ( ) médico.,나는 병원*에* 간다.,al,"del,en el,por el,para el",loc_direction,'a'+'el' = 'al'입니다.
Vengo ( ) cine.,나는 영화관*에서* 오는 길이다.,del,"al,en el,por el,para el",loc_origin,'de'+'el' = 'del'입니다.
El libro es ( ) mi hermano.,그 책은 내 형*의* 것이다.,de,"a,en,por,para",company,소유는 'de'입니다.
Hablamos ( ) teléfono.,우리는 전화*로* 이야기한다.,por,"en,a,de,con",method,수단은 'por'입니다.
Escribo ( ) lápiz.,나는 연필*로* 쓴다.,con,"en,por,a,de",method,도구는 'con'입니다.
Voy a estar aquí ( ) una semana.,나는 일주일 *동안* 여기에 있을 것이다.,por,"para,a,de,en",time_duration,기간은 'por'입니다.
La tarea es ( ) mañana.,숙제는 내일*까지*다.,para,"por,a,de,en",time_deadline,기한은 'para'입니다.
El tren pasa ( ) un puente.,기차는 다리*를 지나* 간다.,por,"para,a,de,en",loc_path,통과는 'por'입니다.
Estoy ( ) acuerdo contigo.,나는 너에게 *동의한다*.,de,"en,a,por,para",manner,'Estar de acuerdo'는 숙어입니다.
Lo compré ( ) diez euros.,나는 그것을 10유로*에* 샀다.,por,"para,a,de,en",exchange,가격/교환은 'por'입니다.
Este autobús es ( ) Madrid.,이 버스는 마드리드*행*이다.,para,"por,a,de,en",loc_direction,목적지는 'para'입니다.
El niño se escondió ( ) la mesa.,아이는 탁자 *밑에* 숨었다.,debajo de,"encima de,sobre,entre,hacia",loc_position,아래는 'debajo de'입니다.
La lámpara está ( ) la mesa.,램프는 탁자 *위에* 있다.,encima de,"debajo de,bajo,entre,hacia",loc_position,위는 'encima de'입니다.
Vivo ( ) mis abuelos.,나는 조부모님*과 함께* 산다.,con,"sin,por,para,de",company,동반은 'con'입니다.
No puedo hacerlo ( ) ti.,너 *없이는* 그것을 할 수 없다.,sin,"con,por,para,de",company,결핍은 'sin'입니다.
Llegaremos ( ) las tres.,우리는 3시*에* 도착할 것이다.,a,"en,de,por,para",time_point,시각은 'a'입니다.
Salimos ( ) viaje mañana.,우리는 내일 여행을 *떠난다*.,de,"en,a,por,para",manner,'Salir de viaje'는 숙어입니다.
El cuadro está colgado ( ) la pared.,그림은 벽*에* 걸려 있다.,en,"a,de,por,para",loc_position,표면 위치는 'en'입니다.
Voy ( ) pie.,나는 *걸어서* 간다.,a,"en,por,con,de",method,걸어서는 'a pie'입니다.
Lo hice ( ) amor.,나는 사랑 *때문에* 그것을 했다.,por,"para,a,de,en",cause,원인은 'por'입니다.
Hay un jardín ( ) la casa.,집 *주위에* 정원이 있다.,alrededor de,"dentro de,sobre,bajo,entre",loc_position,주변은 'alrededor de'입니다.
Lávate las manos ( ) comer.,밥 먹기 *전에* 손을 씻어라.,antes de,"después de,durante,mientras,hasta",time_point,전은 'antes de'입니다.
Iremos al cine ( ) cenar.,저녁 먹은 *후에* 영화관에 갈 것이다.,después de,"antes de,durante,hasta,desde",time_point,후는 'después de'입니다.
El banco está ( ) la plaza.,은행은 광장 *맞은편에* 있다.,frente a,"dentro de,sobre,bajo,entre",loc_position,맞은편은 'frente a'입니다.
"( ) este tema, no tengo nada que decir.","이 주제*에 관해서는*, 할 말이 없다.",En cuanto a,"A pesar de,Debido a,Gracias a,Junto a",topic,관해서는 'En cuanto a'입니다.
La farmacia está ( ) el supermercado.,약국은 슈퍼마켓 *바로 옆에* 있다.,junto a,"lejos de,dentro de,sobre,bajo",loc_position,옆은 'junto a'입니다.
No pudimos salir ( ) la nieve.,눈 *때문에* 나갈 수 없었다.,debido a,"gracias a,para,con,sin",cause,때문에는 'debido a'입니다.
"( ) ser tan joven, es muy maduro.","그렇게 어린 *것에도 불구하고*, 그는 매우 성숙하다.",A pesar de,"Debido a,Gracias a,Junto a,Frente a",cause,불구하고는 'A pesar de'입니다.
Te enviaré la información ( ) correo electrónico.,이메일 *편으로* 정보를 보내주겠다.,vía,"en,a,de,con",method,수단은 'vía'입니다.
Todos vinieron ( ) Juan.,후안을 *제외하고* 모두 왔다.,excepto,"con,para,por,de",company,제외는 'excepto'입니다.
Se resolvió el problema ( ) el diálogo.,문제는 대화를 *통해* 해결되었다.,mediante,"durante,hacia,hasta,desde",method,수단은 'mediante'입니다.
La lluvia continuó ( ) toda la noche.,비는 밤새 *내내* 계속되었다.,durante,"entre,hacia,hasta,desde",time_duration,기간은 'durante'입니다.
El precio varía ( ) el tamaño.,가격은 크기*에 따라* 다르다.,según,"por,para,con,de",manner,따라는 'según'입니다.
La luz entra ( ) la ventana.,빛이 창문*을 통해* 들어온다.,a través de,"encima de,debajo de,junto a,frente a",loc_path,통과는 'a través de'입니다.
Quiero té ( ) café.,커피 *대신에* 차를 원한다.,en vez de,"a causa de,gracias a,junto a,frente a",exchange,대신에는 'en vez de'입니다.
El gato está ( ) la silla.,고양이는 의자 *밑에* 있다.,bajo,"sobre,entre,hacia,desde",loc_position,아래는 'bajo'입니다.
El libro está ( ) la estantería.,책은 책장*에* 있다.,en,"a,de,por,para",loc_position,위치는 'en'입니다.
Voy ( ) Madrid mañana.,나는 내일 마드리드*로* 간다.,a,"de,en,por,con",loc_direction,목적지는 'a'입니다.
Este regalo es ( ) ti.,이 선물은 너*를 위한* 것이다.,para,"por,a,de,en",company,수혜자는 'para'입니다.
Lo hice ( ) ti.,나는 너 *때문에* 그것을 했다.,por,"para,a,de,en",cause,원인은 'por'입니다.
Hablamos ( ) política.,우리는 정치*에 대해* 이야기했다.,de,"a,en,por,para",topic,주제는 'de'입니다.
El tren sale ( ) las cinco.,기차는 5시*에* 출발한다.,a,"en,de,por,para",time_point,시각은 'a'입니다.
Vivo ( ) Corea.,나는 한국*에* 산다.,en,"a,de,por,para",loc_position,장소는 'en'입니다.
Soy ( ) España.,나는 스페인 *출신*이다.,de,"a,en,por,para",loc_origin,출신은 'de'입니다.
Voy ( ) casa.,나는 집*으로* 간다.,a,"en,de,por,para",loc_direction,목적지는 'a'입니다.
La carta es ( ) Juan.,편지는 후안*에게* 이다.,para,"por,a,de,en",company,수신인은 'para'입니다.
Gracias ( ) venir.,와줘서 *고마워*.,por,"para,a,de,en",cause,이유는 'por'입니다.
Estudio ( ) aprender.,나는 배우기 *위해* 공부한다.,para,"por,a,de,en",purpose,목적은 'para'입니다.
Caminamos ( ) el parque.,우리는 공원*을* 걷는다.,por,"para,a,de,en",loc_path,경로는 'por'입니다.
El libro está ( ) la mesa.,책은 탁자 *위에* 있다.,sobre,"bajo,entre,hacia,desde",loc_position,위는 'sobre'입니다.
Estoy ( ) contra de la violencia.,나는 폭력에 *반대*한다.,en,"a,de,por,para",topic,숙어는 'estar en contra de'입니다.
Luchamos ( ) el enemigo.,우리는 적*과 싸운다*.,contra,"por,para,con,de",topic,대항은 'contra'입니다.
Voy a la escuela ( ) autobús.,나는 버스*로* 학교에 간다.,en,"a,por,con,de",method,교통수단은 'en'입니다.
Corta el pan ( ) el cuchillo.,칼*로* 빵을 잘라라.,con,"en,por,a,de",method,도구는 'con'입니다.
No puedo ver ( ) las gafas.,안경 *없이는* 볼 수가 없다.,sin,"con,por,para,de",company,결핍은 'sin'입니다.
Te esperaré ( ) las seis.,6시*까지* 기다릴게.,hasta,"desde,de,a,en",time_deadline,종료는 'hasta'입니다.
Estudio ( ) las ocho de la mañana.,아침 8시*부터* 공부하고 있다.,desde,"hasta,de,a,en",time_point,시작점은 'desde'입니다.
El avión sale ( ) Nueva York.,비행기는 뉴욕*행*이다.,para,"por,a,de,en",loc_direction,목적지는 'para'입니다.
Paseamos ( ) el jardín.,우리는 정원*을* 산책한다.,por,"para,a,de,en",loc_path,경로는 'por'입니다.
La reunión es ( ) martes.,회의는 화요일*에* 있다.,el,"en,a,de,por",time_point,요일 앞에는 전치사 없이 정관사 'el'만 사용하여 날짜/요일을 나타냅니다.
Nací ( ) mayo.,나는 5월*에* 태어났다.,en,"a,de,por,para",time_point,월 앞에는 'en'을 씁니다.
Vivo ( ) el tercer piso.,나는 3층*에* 산다.,en,"a,de,por,para",loc_position,층수 앞에는 'en'을 씁니다.
El gato está ( ) el sofá.,고양이는 소파 *위에* 있다.,sobre,"bajo,entre,hacia,desde",loc_position,위는 'sobre'입니다.
La farmacia está ( ) la derecha.,약국은 오른쪽*에* 있다.,a,"en,de,por,para",loc_position,방향 위치는 'a'입니다.
Trabajo ( ) casa.,나는 집*에서* 일한다.,en,"a,de,por,para",loc_position,장소는 'en'입니다.
Voy ( ) casa.,나는 집*으*로 간다.,a,"en,de,por,para",loc_direction,목적지는 'a'입니다.
Vengo ( ) casa.,나는 집*에서* 온다.,de,"a,en,por,para",loc_origin,출발지는 'de'입니다.
El libro es ( ) papel.,책은 종이*로* 만들어졌다.,de,"en,con,por,para",material,재료는 'de'입니다.
Hablamos ( ) fútbol.,우리는 축구*에 대해* 이야기했다.,de,"a,en,por,para",topic,주제는 'de'입니다.
Gracias ( ) tu regalo.,네 선물 *고마워*.,por,"para,a,de,en",cause,이유는 'por'입니다.
Estudio ( ) aprender.,배우기 *위해* 공부한다.,para,"por,a,de,en",purpose,목적은 'para'입니다.
Te cambio mi boli ( ) tu lápiz.,내 볼펜을 네 연필*과* 바꿀게.,por,"para,a,de,en",exchange,교환은 'por'입니다.
Nos vemos ( ) la mañana.,아침*에* 보자.,por,"a,de,en,para",time_duration,시간대는 'por'입니다.
Son las tres ( ) la tarde.,오후 3시*이다*.,de,"por,a,en,para",time_point,구체적 시각 뒤 시간대는 'de'입니다.
El regalo es ( ) ti.,선물은 너*를 위한* 거야.,para,"por,a,de,en",company,수혜자는 'para'입니다.
Lo hago ( ) ti.,나는 너 *때문에* 한다.,por,"para,a,de,en",cause,원인은 'por'입니다.
El tren pasa ( ) el túnel.,기차는 터널*을* 지나간다.,por,"para,a,de,en",loc_path,경로는 'por'입니다.
La mesa está ( ) la cocina.,탁자는 부엌*에* 있다.,en,"a,de,por,para",loc_position,위치는 'en'입니다.
Voy a ir ( ) pie.,*걸어서* 갈 것이다.,a,"en,por,con,de",method,수단은 'a'입니다.
Estoy ( ) viaje.,나는 여행 *중*이다.,de,"en,a,por,para",manner,상태는 'de'입니다.
Estoy ( ) favor de la propuesta.,나는 그 제안에 *찬성*한다.,a,"en,de,por,con",topic,'Estar a favor de'는 '~에 찬성하다'라는 숙어입니다. (반대: en contra de)
El barco está ( ) medio del mar.,배가 바다 *한가운데에* 있다.,en,"a,de,por,entre",loc_position,'En medio de'는 '~의 한가운데에'라는 표현입니다.
