verb,meaning,isRegular,gerund,past_participle,tense_id,yo_s,yo_e,tu_s,tu_e,el_s,el_e,nos_s,nos_e,vos_s,vos_e,ellos_s,ellos_e
hablar,말하다,true,hablando,hablado,pres,habl,o,habl,as,habl,a,habl,amos,habl,áis,habl,an
hablar,말하다,true,hablando,hablado,perf,he ,hablado,has ,hablado,ha ,hablado,hemos ,hablado,habéis ,hablado,han ,hablado
hablar,말하다,true,hablando,hablado,indef,habl,é,habl,aste,habl,ó,habl,amos,habl,asteis,habl,aron
hablar,말하다,true,hablando,hablado,imperf,habl,aba,habl,abas,habl,aba,habl,ábamos,habl,abais,habl,aban
hablar,말하다,true,hablando,hablado,fut,hablar,é,hablar,ás,hablar,á,hablar,emos,hablar,éis,hablar,án
hablar,말하다,true,hablando,hablado,cond,hablar,ía,hablar,ía,hablar,ía,hablar,íamos,hablar,íais,hablar,ían
hablar,말하다,true,hablando,hablado,subj_pres,habl,e,habl,es,habl,e,habl,emos,habl,éis,habl,en
hablar,말하다,true,hablando,hablado,subj_imp,habl,ara,habl,aras,habl,ara,habl,áramos,habl,arais,habl,aran
estudiar,공부하다,true,estudiando,estudiado,pres,estudi,o,estudi,as,estudi,a,estudi,amos,estudi,áis,estudi,an
estudiar,공부하다,true,estudiando,estudiado,perf,he ,estudiado,has ,estudiado,ha ,estudiado,hemos ,estudiado,habéis ,estudiado,han ,estudiado
estudiar,공부하다,true,estudiando,estudiado,indef,estudi,é,estudi,aste,estudi,ó,estudi,amos,estudi,asteis,estudi,aron
estudiar,공부하다,true,estudiando,estudiado,imperf,estudi,aba,estudi,abas,estudi,aba,estudi,ábamos,estudi,abais,estudi,aban
estudiar,공부하다,true,estudiando,estudiado,fut,estudiar,é,estudiar,ás,estudiar,á,estudiar,emos,estudiar,éis,estudiar,án
estudiar,공부하다,true,estudiando,estudiado,cond,estudiar,ía,estudiar,ías,estudiar,ía,estudiar,íamos,estudiar,íais,estudiar,ían
estudiar,공부하다,true,estudiando,estudiado,subj_pres,estudi,e,estudi,es,estudi,e,estudi,emos,estudi,éis,estudi,en
estudiar,공부하다,true,estudiando,estudiado,subj_imp,estudi,ara,estudi,aras,estudi,ara,estudi,áramos,estudi,arais,estudi,aran
cantar,노래하다,true,cantando,cantado,pres,cant,o,cant,as,cant,a,cant,amos,cant,áis,cant,an
cantar,노래하다,true,cantando,cantado,perf,he ,cantado,has ,cantado,ha ,cantado,hemos ,cantado,habéis ,cantado,han ,cantado
cantar,노래하다,true,cantando,cantado,indef,cant,é,cant,aste,cant,ó,cant,amos,cant,asteis,cant,aron
cantar,노래하다,true,cantando,cantado,imperf,cant,aba,cant,abas,cant,aba,cant,ábamos,cant,abais,cant,aban
cantar,노래하다,true,cantando,cantado,fut,cantar,é,cantar,ás,cantar,á,cantar,emos,cantar,éis,cantar,án
cantar,노래하다,true,cantando,cantado,cond,cantar,ía,cantar,ías,cantar,ía,cantar,íamos,cantar,íais,cantar,ían
cantar,노래하다,true,cantando,cantado,subj_pres,cant,e,cant,es,cant,e,cant,emos,cant,éis,cant,en
cantar,노래하다,true,cantando,cantado,subj_imp,cant,ara,cant,aras,cant,ara,cant,áramos,cant,arais,cant,aran
comprar,사다,true,comprando,comprado,pres,compr,o,compr,as,compr,a,compr,amos,compr,áis,compr,an
comprar,사다,true,comprando,comprado,perf,he ,comprado,has ,comprado,ha ,comprado,hemos ,comprado,habéis ,comprado,han ,comprado
comprar,사다,true,comprando,comprado,indef,compr,é,compr,aste,compr,ó,compr,amos,compr,asteis,compr,aron
comprar,사다,true,comprando,comprado,imperf,compr,aba,compr,abas,compr,aba,compr,ábamos,compr,abais,compr,aban
comprar,사다,true,comprando,comprado,fut,comprar,é,comprar,ás,comprar,á,comprar,emos,comprar,éis,comprar,án
comprar,사다,true,comprando,comprado,cond,comprar,ía,comprar,ías,comprar,ía,comprar,íamos,comprar,íais,comprar,ían
comprar,사다,true,comprando,comprado,subj_pres,compr,e,compr,es,compr,e,compr,emos,compr,éis,compr,en
comprar,사다,true,comprando,comprado,subj_imp,compr,ara,compr,aras,compr,ara,compr,áramos,compr,arais,compr,aran
tomar,마시다,true,tomando,tomado,pres,tom,o,tom,as,tom,a,tom,amos,tom,áis,tom,an
tomar,마시다,true,tomando,tomado,perf,he ,tomado,has ,tomado,ha ,tomado,hemos ,tomado,habéis ,tomado,han ,tomado
tomar,마시다,true,tomando,tomado,indef,tom,é,tom,aste,tom,ó,tom,amos,tom,asteis,tom,aron
tomar,마시다,true,tomando,tomado,imperf,tom,aba,tom,abas,tom,aba,tom,ábamos,tom,abais,tom,aban
tomar,마시다,true,tomando,tomado,fut,tomar,é,tomar,ás,tomar,á,tomar,emos,tomar,éis,tomar,án
tomar,마시다,true,tomando,tomado,cond,tomar,ía,tomar,ías,tomar,ía,tomar,íamos,tomar,íais,tomar,ían
tomar,마시다,true,tomando,tomado,subj_pres,tom,e,tom,es,tom,e,tom,emos,tom,éis,tom,en
tomar,마시다,true,tomando,tomado,subj_imp,tom,ara,tom,aras,tom,ara,tom,áramos,tom,arais,tom,aran
preguntar,묻다,true,preguntando,preguntado,pres,pregunt,o,pregunt,as,pregunt,a,pregunt,amos,pregunt,áis,pregunt,an
preguntar,묻다,true,preguntando,preguntado,perf,he ,preguntado,has ,preguntado,ha ,preguntado,hemos ,preguntado,habéis ,preguntado,han ,preguntado
preguntar,묻다,true,preguntando,preguntado,indef,pregunt,é,pregunt,aste,pregunt,ó,pregunt,amos,pregunt,asteis,pregunt,aron
preguntar,묻다,true,preguntando,preguntado,imperf,pregunt,aba,pregunt,abas,pregunt,aba,pregunt,ábamos,pregunt,abais,pregunt,aban
preguntar,묻다,true,preguntando,preguntado,fut,preguntar,é,preguntar,ás,preguntar,á,preguntar,emos,preguntar,éis,preguntar,án
preguntar,묻다,true,preguntando,preguntado,cond,preguntar,ía,preguntar,ías,preguntar,ía,preguntar,íamos,preguntar,íais,preguntar,ían
preguntar,묻다,true,preguntando,preguntado,subj_pres,pregunt,e,pregunt,es,pregunt,e,pregunt,emos,pregunt,éis,pregunt,en
preguntar,묻다,true,preguntando,preguntado,subj_imp,pregunt,ara,pregunt,aras,pregunt,ara,pregunt,áramos,pregunt,arais,pregunt,aran
esperar,기다리다,true,esperando,esperado,pres,esper,o,esper,as,esper,a,esper,amos,esper,áis,esper,an
esperar,기다리다,true,esperando,esperado,perf,he ,esperado,has ,esperado,ha ,esperado,hemos ,esperado,habéis ,esperado,han ,esperado
esperar,기다리다,true,esperando,esperado,indef,esper,é,esper,aste,esper,ó,esper,amos,esper,asteis,esper,aron
esperar,기다리다,true,esperando,esperado,imperf,esper,aba,esper,abas,esper,aba,esper,ábamos,esper,abais,esper,aban
esperar,기다리다,true,esperando,esperado,fut,esperar,é,esperar,ás,esperar,á,esperar,emos,esperar,éis,esperar,án
esperar,기다리다,true,esperando,esperado,cond,esperar,ía,esperar,ías,esperar,ía,esperar,íamos,esperar,íais,esperar,ían
esperar,기다리다,true,esperando,esperado,subj_pres,esper,e,esper,es,esper,e,esper,emos,esper,éis,esper,en
esperar,기다리다,true,esperando,esperado,subj_imp,esper,ara,esper,aras,esper,ara,esper,áramos,esper,arais,esper,aran
llegar,도착하다,true,llegando,llegado,pres,lleg,o,lleg,as,lleg,a,lleg,amos,lleg,áis,lleg,an
llegar,도착하다,true,llegando,llegado,perf,he ,llegado,has ,llegado,ha ,llegado,hemos ,llegado,habéis ,llegado,han ,llegado
llegar,도착하다,true,llegando,llegado,indef,llegu,é,lleg,aste,lleg,ó,lleg,amos,lleg,asteis,lleg,aron
llegar,도착하다,true,llegando,llegado,imperf,lleg,aba,lleg,abas,lleg,aba,lleg,ábamos,lleg,abais,lleg,aban
llegar,도착하다,true,llegando,llegado,fut,llegar,é,llegar,ás,llegar,á,llegar,emos,llegar,éis,llegar,án
llegar,도착하다,true,llegando,llegado,cond,llegar,ía,llegar,ías,llegar,ía,llegar,íamos,llegar,íais,llegar,ían
llegar,도착하다,true,llegando,llegado,subj_pres,llegu,e,llegu,es,llegu,e,llegu,emos,llegu,éis,llegu,en
llegar,도착하다,true,llegando,llegado,subj_imp,lleg,ara,lleg,aras,lleg,ara,lleg,áramos,lleg,arais,lleg,aran
necesitar,필요하다,true,necesitando,necesitado,pres,necesit,o,necesit,as,necesit,a,necesit,amos,necesit,áis,necesit,an
necesitar,필요하다,true,necesitando,necesitado,perf,he ,necesitado,has ,necesitado,ha ,necesitado,hemos ,necesitado,habéis ,necesitado,han ,necesitado
necesitar,필요하다,true,necesitando,necesitado,indef,necesit,é,necesit,aste,necesit,ó,necesit,amos,necesit,asteis,necesit,aron
necesitar,필요하다,true,necesitando,necesitado,imperf,necesit,aba,necesit,abas,necesit,aba,necesit,ábamos,necesit,abais,necesit,aban
necesitar,필요하다,true,necesitando,necesitado,fut,necesitar,é,necesitar,ás,necesitar,á,necesitar,emos,necesitar,éis,necesitar,án
necesitar,필요하다,true,necesitando,necesitado,cond,necesitar,ía,necesitar,ías,necesitar,ía,necesitar,íamos,necesitar,íais,necesitar,ían
necesitar,필요하다,true,necesitando,necesitado,subj_pres,necesit,e,necesit,es,necesit,e,necesit,emos,necesit,éis,necesit,en
necesitar,필요하다,true,necesitando,necesitado,subj_imp,necesit,ara,necesit,aras,necesit,ara,necesit,áramos,necesit,arais,necesit,aran
ayudar,돕다,true,ayudando,ayudado,pres,ayud,o,ayud,as,ayud,a,ayud,amos,ayud,áis,ayud,an
ayudar,돕다,true,ayudando,ayudado,perf,he ,ayudado,has ,ayudado,ha ,ayudado,hemos ,ayudado,habéis ,ayudado,han ,ayudado
ayudar,돕다,true,ayudando,ayudado,indef,ayud,é,ayud,aste,ayud,ó,ayud,amos,ayud,asteis,ayud,aron
ayudar,돕다,true,ayudando,ayudado,imperf,ayud,aba,ayud,abas,ayud,aba,ayud,ábamos,ayud,abais,ayud,aban
ayudar,돕다,true,ayudando,ayudado,fut,ayudar,é,ayudar,ás,ayudar,á,ayudar,emos,ayudar,éis,ayudar,án
ayudar,돕다,true,ayudando,ayudado,cond,ayudar,ía,ayudar,ías,ayudar,ía,ayudar,íamos,ayudar,íais,ayudar,ían
ayudar,돕다,true,ayudando,ayudado,subj_pres,ayud,e,ayud,es,ayud,e,ayud,emos,ayud,éis,ayud,en
ayudar,돕다,true,ayudando,ayudado,subj_imp,ayud,ara,ayud,aras,ayud,ara,ayud,áramos,ayud,arais,ayud,aran
comer,먹다,true,comiendo,comido,pres,com,o,com,es,com,e,com,emos,com,éis,com,en
comer,먹다,true,comiendo,comido,perf,he ,comido,has ,comido,ha ,comido,hemos ,comido,habéis ,comido,han ,comido
comer,먹다,true,comiendo,comido,indef,com,í,com,iste,com,ió,com,imos,com,isteis,com,ieron
comer,먹다,true,comiendo,comido,imperf,com,ía,com,ías,com,ía,com,íamos,com,íais,com,ían
comer,먹다,true,comiendo,comido,fut,comer,é,comer,ás,comer,á,comer,emos,comer,éis,comer,án
comer,먹다,true,comiendo,comido,cond,comer,ía,comer,ías,comer,ía,comer,íamos,comer,íais,comer,ían
comer,먹다,true,comiendo,comido,subj_pres,com,a,com,as,com,a,com,amos,com,áis,com,an
comer,먹다,true,comiendo,comido,subj_imp,com,iera,com,ieras,com,iera,com,iéramos,com,ierais,com,ieran
beber,마시다,true,bebiendo,bebido,pres,beb,o,beb,es,beb,e,beb,emos,beb,éis,beb,en
beber,마시다,true,bebiendo,bebido,perf,he ,bebido,has ,bebido,ha ,bebido,hemos ,bebido,habéis ,bebido,han ,bebido
beber,마시다,true,bebiendo,bebido,indef,beb,í,beb,iste,beb,ió,beb,imos,beb,isteis,beb,ieron
beber,마시다,true,bebiendo,bebido,imperf,beb,ía,beb,ías,beb,ía,beb,íamos,beb,íais,beb,ían
beber,마시다,true,bebiendo,bebido,fut,beber,é,beber,ás,beber,á,beber,emos,beber,éis,beber,án
beber,마시다,true,bebiendo,bebido,cond,beber,ía,beber,ías,beber,ía,beber,íamos,beber,íais,beber,ían
beber,마시다,true,bebiendo,bebido,subj_pres,beb,a,beb,as,beb,a,beb,amos,beb,áis,beb,an
beber,마시다,true,bebiendo,bebido,subj_imp,beb,iera,beb,ieras,beb,iera,beb,iéramos,beb,ierais,beb,ieran
aprender,배우다,true,aprendiendo,aprendido,pres,aprend,o,aprend,es,aprend,e,aprend,emos,aprend,éis,aprend,en
aprender,배우다,true,aprendiendo,aprendido,perf,he ,aprendido,has ,aprendido,ha ,aprendido,hemos ,aprendido,habéis ,aprendido,han ,aprendido
aprender,배우다,true,aprendiendo,aprendido,indef,aprend,í,aprend,iste,aprend,ió,aprend,imos,aprend,isteis,aprend,ieron
aprender,배우다,true,aprendiendo,aprendido,imperf,aprend,ía,aprend,ías,aprend,ía,aprend,íamos,aprend,íais,aprend,ían
aprender,배우다,true,aprendiendo,aprendido,fut,aprender,é,aprender,ás,aprender,á,aprender,emos,aprender,éis,aprender,án
aprender,배우다,true,aprendiendo,aprendido,cond,aprender,ía,aprender,ías,aprender,ía,aprender,íamos,aprender,íais,aprender,ían
aprender,배우다,true,aprendiendo,aprendido,subj_pres,aprend,a,aprend,as,aprend,a,aprend,amos,aprend,áis,aprend,an
aprender,배우다,true,aprendiendo,aprendido,subj_imp,aprend,iera,aprend,ieras,aprend,iera,aprend,iéramos,aprend,ierais,aprend,ieran
vender,팔다,true,vendiendo,vendido,pres,vend,o,vend,es,vend,e,vend,emos,vend,éis,vend,en
vender,팔다,true,vendiendo,vendido,perf,he ,vendido,has ,vendido,ha ,vendido,hemos ,vendido,habéis ,vendido,han ,vendido
vender,팔다,true,vendiendo,vendido,indef,vend,í,vend,iste,vend,ió,vend,imos,vend,isteis,vend,ieron
vender,팔다,true,vendiendo,vendido,imperf,vend,ía,vend,ías,vend,ía,vend,íamos,vend,íais,vend,ían
vender,팔다,true,vendiendo,vendido,fut,vender,é,vender,ás,vender,á,vender,emos,vender,éis,vender,án
vender,팔다,true,vendiendo,vendido,cond,vender,ía,vender,ías,vender,ía,vender,íamos,vender,íais,vender,ían
vender,팔다,true,vendiendo,vendido,subj_pres,vend,a,vend,as,vend,a,vend,amos,vend,áis,vend,an
vender,팔다,true,vendiendo,vendido,subj_imp,vend,iera,vend,ieras,vend,iera,vend,iéramos,vend,ierais,vend,ieran
comprender,이해하다,true,comprendiendo,comprendido,pres,comprend,o,comprend,es,comprend,e,comprend,emos,comprend,éis,comprend,en
comprender,이해하다,true,comprendiendo,comprendido,perf,he ,comprendido,has ,comprendido,ha ,comprendido,hemos ,comprendido,habéis ,comprendido,han ,comprendido
comprender,이해하다,true,comprendiendo,comprendido,indef,comprend,í,comprend,iste,comprend,ió,comprend,imos,comprend,isteis,comprend,ieron
comprender,이해하다,true,comprendiendo,comprendido,imperf,comprend,ía,comprend,ías,comprend,ía,comprend,íamos,comprend,íais,comprend,ían
comprender,이해하다,true,comprendiendo,comprendido,fut,comprender,é,comprender,ás,comprender,á,comprender,emos,comprender,éis,comprender,án
comprender,이해하다,true,comprendiendo,comprendido,cond,comprender,ía,comprender,ías,comprender,ía,comprender,íamos,comprender,íais,comprender,ían
comprender,이해하다,true,comprendiendo,comprendido,subj_pres,comprend,a,comprend,as,comprend,a,comprend,amos,comprend,áis,comprend,an
comprender,이해하다,true,comprendiendo,comprendido,subj_imp,comprend,iera,comprend,ieras,comprend,iera,comprend,iéramos,comprend,ierais,comprend,ieran
vivir,살다,true,viviendo,vivido,pres,viv,o,viv,es,viv,e,viv,imos,viv,ís,viv,en
vivir,살다,true,viviendo,vivido,perf,he ,vivido,has ,vivido,ha ,vivido,hemos ,vivido,habéis ,vivido,han ,vivido
vivir,살다,true,viviendo,vivido,indef,viv,í,viv,iste,viv,ió,viv,imos,viv,isteis,viv,ieron
vivir,살다,true,viviendo,vivido,imperf,viv,ía,viv,ías,viv,ía,viv,íamos,viv,íais,viv,ían
vivir,살다,true,viviendo,vivido,fut,vivir,é,vivir,ás,vivir,á,vivir,emos,vivir,éis,vivir,án
vivir,살다,true,viviendo,vivido,cond,vivir,ía,vivir,ías,vivir,ía,vivir,íamos,vivir,íais,vivir,ían
vivir,살다,true,viviendo,vivido,subj_pres,viv,a,viv,as,viv,a,viv,amos,viv,áis,viv,an
vivir,살다,true,viviendo,vivido,subj_imp,viv,iera,viv,ieras,viv,iera,viv,iéramos,viv,ierais,viv,ieran
subir,올라가다,true,subiendo,subido,pres,sub,o,sub,es,sub,e,sub,imos,sub,ís,sub,en
subir,올라가다,true,subiendo,subido,perf,he ,subido,has ,subido,ha ,subido,hemos ,subido,habéis ,subido,han ,subido
subir,올라가다,true,subiendo,subido,indef,sub,í,sub,iste,sub,ió,sub,imos,sub,isteis,sub,ieron
subir,올라가다,true,subiendo,subido,imperf,sub,ía,sub,ías,sub,ía,sub,íamos,sub,íais,sub,ían
subir,올라가다,true,subiendo,subido,fut,subir,é,subir,ás,subir,á,subir,emos,subir,éis,subir,án
subir,올라가다,true,subiendo,subido,cond,subir,ía,subir,ías,subir,ía,subir,íamos,subir,íais,subir,ían
subir,올라가다,true,subiendo,subido,subj_pres,sub,a,sub,as,sub,a,sub,amos,sub,áis,sub,an
subir,올라가다,true,subiendo,subido,subj_imp,sub,iera,sub,ieras,sub,iera,sub,iéramos,sub,ierais,sub,ieran
permitir,허락하다,true,permitiendo,permitido,pres,permit,o,permit,es,permit,e,permit,imos,permit,ís,permit,en
permitir,허락하다,true,permitiendo,permitido,perf,he ,permitido,has ,permitido,ha ,permitido,hemos ,permitido,habéis ,permitido,han ,permitido
permitir,허락하다,true,permitiendo,permitido,indef,permit,í,permit,iste,permit,ió,permit,imos,permit,isteis,permit,ieron
permitir,허락하다,true,permitiendo,permitido,imperf,permit,ía,permit,ías,permit,ía,permit,íamos,permit,íais,permit,ían
permitir,허락하다,true,permitiendo,permitido,fut,permitir,é,permitir,ás,permitir,á,permitir,emos,permitir,éis,permitir,án
permitir,허락하다,true,permitiendo,permitido,cond,permitir,ía,permitir,ías,permitir,ía,permitir,íamos,permitir,íais,permitir,ían
permitir,허락하다,true,permitiendo,permitido,subj_pres,permit,a,permit,as,permit,a,permit,amos,permit,áis,permit,an
permitir,허락하다,true,permitiendo,permitido,subj_imp,permit,iera,permit,ieras,permit,iera,permit,iéramos,permit,ierais,permit,ieran
escribir,쓰다,true,escribiendo,escrito,pres,escrib,o,escrib,as,escrib,a,escrib,amos,escrib,áis,escrib,an
escribir,쓰다,true,escribiendo,escrito,perf,he ,escrito,has ,escrito,ha ,escrito,hemos ,escrito,habéis ,escrito,han ,escrito
escribir,쓰다,true,escribiendo,escrito,indef,escrib,í,escrib,iste,escrib,ió,escrib,imos,escrib,isteis,escrib,ieron
escribir,쓰다,true,escribiendo,escrito,imperf,escrib,ía,escrib,ías,escrib,ía,escrib,íamos,escrib,íais,escrib,ían
escribir,쓰다,true,escribiendo,escrito,fut,escribir,é,escribir,ás,escribir,á,escribir,emos,escribir,éis,escribir,án
escribir,쓰다,true,escribiendo,escrito,cond,escribir,ía,escribir,ías,escribir,ía,escribir,íamos,escribir,íais,escribir,ían
escribir,쓰다,true,escribiendo,escrito,subj_pres,escrib,a,escrib,as,escrib,a,escrib,amos,escrib,áis,escrib,an
